Index,Type,Introduction,Body,CTA,Conclusion,Response(Y/N),Cleaned_Body,Generated Email
1,Cold Email,"Hi Matthew,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Houlihan Lokey. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience at houlihan if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,"Hi Matthew, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at Houlihan Lokey."
2,Cold Email,"Hi Daniel,","I hope you're having a great week so far! My name is Shreyas Kumar and I am a junior pursuing both my bachelor's and master's degree in finance at Bentley University. I am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with you about your experiences at Baird on the Defense & Government team. I was wondering whether you would be available for a ~10-15 minute phone call in the coming weeks. I understand you must be very busy, but if you're willing, I'd be more than happy to find a time that works best for your schedule.",I have attached my resume for your reference. Thank you for your time and consideration!,"Best, Shreyas",Y,hope having a great week so name is shreyas kumar and am a junior pursuing both and degree in finance at bentley am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with about experiences at baird on the defense government was wondering whether would be available for a minute phone call in the coming understand must be very but if be more than happy to find a time that works best for,I hope you're having a great week so far! I am a junior pursuing both my bachelor's and master's degree in finance at Bentley University. I am eager to enter the investment banking industry full time and would be grateful for the opportunity to speak with you about your experiences at Baird on the Defense & Government team.
3,Cold Email,"Hi Isabelle,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I also recently interned at Citizens in the FACT program. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience in Debt Capital Markets at Citizens Bank. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley also recently interned at citizens in the fact am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience in debt capital markets at citizens if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I also recently interned at Citizens in the FACT program. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience in Debt Capital Markets at Citizens Bank.
4,Cold Email,"Dear Mr. Yamson,","I hope you're having a great week so far! My name is Shreyas Kumar, and I am currently a rising senior at Bentley University, pursuing a Master of Science in Finance. As I explore full-time opportunities in investment banking, I would greatly appreciate the chance to connect with you. I will be in New York from September 9th to 13th and was wondering if you might have time for a brief coffee chat near the Stifel office. I would love to learn more about your career journey and how you successfully navigated the investment banking industry. I understand you have a busy schedule, so if a coffee meeting is not convenient, a quick phone call would also work perfectly for me. I’ve attached my resume for your reference and would be delighted to connect at your convenience.",Thank you for considering my request. I look forward to the possibility of speaking with you in New York!,"Best, Shreyas",N,hope having a great week so name is shreyas and am currently a rising senior at bentley pursuing a master of science in as explore opportunities in investment would greatly appreciate the chance to connect with will be in new york from september to and was wondering if might have time for a brief coffee chat near the stifel would love to learn more about career journey and how successfully navigated the investment banking understand have a busy so if a coffee meeting is not a quick phone call would also work perfectly for attached resume for reference and would be delighted to connect at,"Kumar, Body: I hope you're having a great week so far! Conclusion: Best, Shreyas Kumar, and I am currently a rising senior at Bentley University, pursuing a Master of Science in Finance. I would greatly appreciate the chance to connect with you. I will be in New York from September 9th to 13th and was wondering if you might have time for a brief coffee chat near the Stifel office."
5,Cold Email,"Hi Utsav,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at RBC Capital Markets. I will be in New York from September 9th to 13th and was wondering if you might have time for a brief coffee chat near the RBC office. I assume your schedule is very busy, so if a coffee meeting is not convenient, a quick phone call would also work perfectly for me. My schedule is flexible so let me know what time works best for you.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience at rbc capital will be in new york from september to and was wondering if might have time for a brief coffee chat near the rbc assume schedule is very so if a coffee meeting is not a quick phone call would also work perfectly for schedule is flexible so let know what time works best for,"I hope you've had a great week thus far. Hi Utsav, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at RBC Capital Markets. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at RBC Capital"
6,Cold Email,"Dear Mr. Rippstein,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and your extensive 25 years of experience at Piper Sandler. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is extremely busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",Y,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and extensive years of experience at piper if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is extremely so please let know if have any availability in the near,", I hope you've had a great week thus far. I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and your extensive 25 years of experience at Piper Sandler."
7,Cold Email,"Dear Mr. Halpern,","I hope this email finds you well! My name is Shreyas Kumar, and I am currently a rising senior at Bentley University, pursuing a Master of Science in Finance. As I explore full-time opportunities in investment banking, I would greatly appreciate the chance to connect with you. I will be in New York from September 9th to 13th and was wondering if you might have time for a brief coffee chat near the Stifel office. I would love to learn more about your career journey and how you successfully navigated the investment banking industry. I understand you have a busy schedule, so if a coffee meeting is not convenient, a quick phone call would also work perfectly for me. I’ve attached my resume for your reference and would be delighted to connect at your convenience.",Thank you for considering my request. I look forward to the possibility of speaking with you in New York!,"Best, Shreyas",N,hope this email finds name is shreyas and am currently a rising senior at bentley pursuing a master of science in as explore opportunities in investment would greatly appreciate the chance to connect with will be in new york from september to and was wondering if might have time for a brief coffee chat near the stifel would love to learn more about career journey and how successfully navigated the investment banking understand have a busy so if a coffee meeting is not a quick phone call would also work perfectly for attached resume for reference and would be delighted to connect at,"Kumar, Body: I hope this email finds you well! Conclusion: Best, Shreyas Kumar, and I am currently a rising senior at Bentley University, pursuing a Master of Science in Finance. I would greatly appreciate the chance to connect with you. I will be in New York from September 9th to 13th and was wondering if you might have time for a brief coffee chat near the Stifel office."
8,Cold Email,"Hi Melina,","I hope you've had a great week so far! My name is Shreyas Kumar, a rising senior at Bentley University pursuing a bachelor's and master's degree in finance concurrently. After speaking with analysts at Nomura, I've become very interested in full-time opportunities with the bank's investment banking division. I wanted to ask when full-time applications would open for Nomura and what I could do to put myself in the best possible position to be selected for an interview with the bank.",Thank you in advance for your time and consideration. I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week so name is shreyas a rising senior at bentley university pursuing a and degree in finance after speaking with analysts at become very interested in opportunities with the investment banking wanted to ask when applications would open for nomura and what could do to put in the best possible position to be selected for an interview with the,"I hope you've had a great week so far! Hi Melina, Body: I hope you've had a great week so far! I've been very interested in full-time opportunities with the bank's investment banking division. I wanted to ask when full-time applications would open for Nomura and what I could do to put myself in the best possible position to be selected for an interview with the bank."
9,Cold Email,"Hi Gracie,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at RBC Capital Markets. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking and would love to learn more about background and experience at rbc capital if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking and would love to learn more about your background and experience at RBC Capital Markets.
10,Cold Email,"Dear Jill,","I hope your week is going well! My name is Shreyas and I am a rising senior at Bentley University pursuing both a bachelor's and master's degree in finance. I am very interested in pursuing full time opportunities with Leerink Partners. Through my internships in private equity, corporate finance, and equity research—most recently supporting a $100M acquisition at Thesis Capital Partners—I’ve developed strong financial modeling and investment analysis skills that I’m excited to possibly bring to the team. I’d love the opportunity to introduce myself further and learn more about potential opportunities at Leerink. Would you be open to a brief call at your convenience?",Thank you for your time and consideration. I look forward to connecting with you!,"Best, Shreyas",N,hope week is going name is shreyas and am a rising senior at bentley university pursuing both a and degree in am very interested in pursuing full time opportunities with leerink through internships in private corporate and equity recently supporting a acquisition at thesis capital developed strong financial modeling and investment analysis skills that excited to possibly bring to the love the opportunity to introduce further and learn more about potential opportunities at would be open to a brief call at,",: Best, Shreyas. I hope your week is going well! Conclusion: Best, Shreyas. I am a rising senior at Bentley University pursuing both a bachelor's and master's degree in finance. I am very interested in pursuing full time opportunities with Leerink Partners."
11,Cold Email,"Hi Kevin,","I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking risk management and would love to learn more about your background and experience at J.P. Morgan. If you have the time, I would greatly appreciate the chance to connect over the phone sometime in the coming weeks. I assume your schedule is very busy, so please let me know if you have any availability in the near future.",Thank you in advance for your time and I look forward to hearing from you!,"Best, Shreyas",N,hope had a great week thus name is shreyas and am a rising senior studying finance at bentley am interested in pursuing full time opportunities in investment banking risk management and would love to learn more about background and experience at if have the would greatly appreciate the chance to connect over the phone sometime in the coming assume schedule is very so please let know if have any availability in the near,"Hi Kevin, Body: I hope you've had a great week thus far. My name is Shreyas and I am a rising senior studying finance at Bentley University. I am interested in pursuing full time opportunities in investment banking risk management and would love to learn more about your background and experience at J.P. Morgan."
12,Cold Email,"Dear Shavon,","I hope your week is going well! My name is Shreyas and I am a rising senior at Bentley University pursuing both a bachelor's and master's degree in finance. I am very interested in pursuing full time opportunities in Asset & Wealth Management with J.P. Morgan. Through my internships in private equity, corporate finance, and equity research—most recently supporting a $100M acquisition at Thesis Capital Partners—I’ve developed strong financial modeling and investment analysis skills that I’m excited to possibly bring to the team. I’d love the opportunity to introduce myself further and learn more about potential opportunities at J.P. Morgan. Would you be open to a brief call at your convenience?",Thank you for your time and consideration. I look forward to connecting with you!,"Best, Shreyas",N,hope week is going name is shreyas and am a rising senior at bentley university pursuing both a and degree in am very interested in pursuing full time opportunities in asset wealth management with through internships in private corporate and equity recently supporting a acquisition at thesis capital developed strong financial modeling and investment analysis skills that excited to possibly bring to the love the opportunity to introduce further and learn more about potential opportunities at would be open to a brief call at,",: Best, Shreyas, Body: I hope your week is going well! Conclusion: Best, Shreyas, Body: I hope your week is going well! Conclusion: Best, Shreyas, Body: I hope your week is going well! I am a rising senior at Bentley University pursuing both a bachelor's and master's degree in finance. I am very interested in pursuing full time opportunities in Asset & Wealth Management with J.P. Morgan."
